member_sha256,occurrence_count,member_bytes,disposition
412a025527297b537481079a77a44a1b864a38e450d143e885fb925bd5a4f922,1,2243,PRIVATE_OR_DUPLICATE_OR_UNSELECTED_ARCHIVE_MEMBER_NO_PUBLIC_IMPORT
415137bcb1b8f2738f00ff48aba92e424180d761a047ae29736226559442e8b6,1,973,PUBLIC_HASH_RECEIPTED_NO_DUPLICATE_IMPORT
41884497195d4b0fb24c5050e8d713548bef159208545e53ee74785cd185ae5a,1,675,PRIVATE_OR_DUPLICATE_OR_UNSELECTED_ARCHIVE_MEMBER_NO_PUBLIC_IMPORT
42c5a2c6f432ca0543642a00a95ba82e23a09b36ec75c809ba7ea8be303f0dff,1,2342,PRIVATE_OR_DUPLICATE_OR_UNSELECTED_ARCHIVE_MEMBER_NO_PUBLIC_IMPORT
43347c11d085c6fdad1e7bfc02f0f7e37e4a38059b0324261315d835586362c5,1,1424,PRIVATE_OR_DUPLICATE_OR_UNSELECTED_ARCHIVE_MEMBER_NO_PUBLIC_IMPORT
44e0a1f649128af6cc51bc9fc54a970c56169a080629e231f4fe7aaf2a3e4f03,1,1519,PRIVATE_OR_DUPLICATE_OR_UNSELECTED_ARCHIVE_MEMBER_NO_PUBLIC_IMPORT
44e711386ae2fd44a3762b39894b08c2e2e21d86bc3f0dcc2e3714e84f4b2ae2,2,13333,EXACT_PUBLIC_BYTES_PRESENT
452376b65677bf5306ecdaa6f7dc7209c0c25e219d90203cd645929db0f69e16,1,3149,EXACT_PUBLIC_BYTES_PRESENT
45c91c8c3a30a3b23a910871680a26d1af0728471beb16d043735e04b40dab27,1,1664,PRIVATE_OR_DUPLICATE_OR_UNSELECTED_ARCHIVE_MEMBER_NO_PUBLIC_IMPORT
470e6701aa574260dbfe1b9c94334dd0bd223d99244deda050d91eda1aa39f59,4,4285,EXACT_PUBLIC_BYTES_PRESENT
471fded333c05979977af3dc441f5a74ebe3359c1540aa36064a9855d9d6bd3d,1,416,PRIVATE_OR_DUPLICATE_OR_UNSELECTED_ARCHIVE_MEMBER_NO_PUBLIC_IMPORT
473656d44853093bfe40f79e53de3feb93545607725a9de30743829dc9badbc0,7,860,EXACT_PUBLIC_BYTES_PRESENT
4790918be5bc7dd89fb6175e8b8d71e88cb56a3b68293ef17794ec31e719fe73,1,1651,PRIVATE_OR_DUPLICATE_OR_UNSELECTED_ARCHIVE_MEMBER_NO_PUBLIC_IMPORT
47b4b26859ffacf97e6e3dfa20d8b9e0d8237423794c73dea99c58ca51dc15a9,4,12874,EXACT_PUBLIC_BYTES_PRESENT
47d9dda5638b51d77eb9c9b296356475ba7f1d50085ecea940b00459d5a87f0d,1,1914,PRIVATE_OR_DUPLICATE_OR_UNSELECTED_ARCHIVE_MEMBER_NO_PUBLIC_IMPORT
481d79a8c5e082a058d781ff6fe4c6666bef3f1f3de0f371cfc20ced3c28be04,2,1678,PRIVATE_OR_DUPLICATE_OR_UNSELECTED_ARCHIVE_MEMBER_NO_PUBLIC_IMPORT
483f598b2d7e828ee795cf2a6f85bd9d673e0207e8c1487e06aa824b334340a4,1,4660,PRIVATE_OR_DUPLICATE_OR_UNSELECTED_ARCHIVE_MEMBER_NO_PUBLIC_IMPORT
4974a29bf6f530601c2513c56bd0a057c3ecb408f1df129c0ded1a6b568617db,1,1823,EXACT_PUBLIC_BYTES_PRESENT
